"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"1C75D9AD17A842C5994A4033B9C5CB05","D03","JERC","JERC_009","J5","evergreenForest",31.194269,-84.455064,"WGS84",,47.2,,"2014-08-20","MAM.JERC.2014.09","NEON.MAM.D03.0R2463","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"juvenile",,"nonenlarged","not","neither",21.0,,,,15.00,"JERC.20140820.R2463.B","retroorbital",,,,,,,"EdHmhwKXqxyRw3LeFHC4BvFsm6jXDT8C","JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=",,0,0,0,-1,0
"AE45BDB243614F3EB902A36F2EF73A49","D03","JERC","JERC_009","J2","evergreenForest",31.194539,-84.455057,"WGS84",,47.3,,"2014-08-20","MAM.JERC.2014.09","NEON.MAM.D03.0L2438","SIHI","Sigmodon hispidus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",32.0,,,,119.00,,,,,,,,,"EdHmhwKXqxyRw3LeFHC4BvFsm6jXDT8C","JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=",,0,0,0,-1,0
"46D2A86AF3F14752B00B29AFDCF74386","D03","JERC","JERC_009","J4","evergreenForest",31.194359,-84.455062,"WGS84",,47.3,,"2014-08-20","MAM.JERC.2014.09","NEON.MAM.D03.0R2456","SIHI","Sigmodon hispidus","species",," ","F","R","Y",,,"adult",,"enlarged","not","neither",32.0,,,,94.00,"JERC.20140820.R2456.B","retroorbital",,,,,,,"EdHmhwKXqxyRw3LeFHC4BvFsm6jXDT8C","JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=",,0,0,0,-1,0
"66DA90F126A14DAEBC392C28C8D0E1E6","D03","JERC","JERC_009","H3","evergreenForest",31.194453,-84.455269,"WGS84",,47.2,,"2014-08-20","MAM.JERC.2014.09","NEON.MAM.D03.0R2028","SIHI","Sigmodon hispidus","species",," ","M","N","N",,,"juvenile","nonscrotal",,,,26.0,,,,31.00,"JERC.20140820.R2028.B","retroorbital",,,,,,,"EdHmhwKXqxyRw3LeFHC4BvFsm6jXDT8C","JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=",,0,0,0,-1,0
"A6A424CFE1A14096B33D5A70CD100C63","D03","JERC","JERC_009","H5","evergreenForest",31.194273,-84.455274,"WGS84",,47.2,,"2014-08-20","MAM.JERC.2014.09","NEON.MAM.D03.0R2261","PEGO","Peromyscus gossypinus","species",," ","M","R","Y",,,"adult","scrotal",,,,21.0,,,,26.00,,,,,,,,,"Sb8D4VxxoIjNRU2egFuiFmhpZdv5UFvW","DCSbvLoRWMwR6lENA9DqqJdtFC/JgN1y",,0,0,0,-1,0
"C07C4F33E51A456DBFF719534DF42244","D03","JERC","JERC_009","H7","evergreenForest",31.194093,-84.455279,"WGS84",,47.2,,"2014-08-20","MAM.JERC.2014.09","NEON.MAM.D03.0R2448","SIHI","Sigmodon hispidus","species",," ","M","N","N",,,"juvenile","nonscrotal",,,,24.0,,,,31.00,"JERC.20140820.R2448.B","retroorbital",,,,,,,"EdHmhwKXqxyRw3LeFHC4BvFsm6jXDT8C","JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=",,-1,0,0,-1,0
"D7F290A37FFD4A51A487CCCAF6EA46A0","D03","JERC","JERC_009","I4","evergreenForest",31.194361,-84.455167,"WGS84",,47.2,,"2014-08-20","MAM.JERC.2014.09","NEON.MAM.D03.0R2399","SIHI","Sigmodon hispidus","species",," ","F","N","Y",,,"subadult",,"nonenlarged","not","neither",28.0,,,,47.00,,,,,,,,,"Sb8D4VxxoIjNRU2egFuiFmhpZdv5UFvW","DCSbvLoRWMwR6lENA9DqqJdtFC/JgN1y",,0,0,1,-1,1
"5F23EC5E27A843E8833AA406645B0A91","D03","JERC","JERC_009","B4","evergreenForest",31.194376,-84.455901,"WGS84",,47.1,,"2014-08-20","MAM.JERC.2014.09","NEON.MAM.D03.0R2398","PEGO","Peromyscus gossypinus","species",," ","M","R","N",,,"adult","scrotal",,,,22.0,,,,32.00,"JERC.20140820.R2398.B","mandibular",,,,"JERC.20140820.R2398.H","JERC.20140820.R2398.H",,"EdHmhwKXqxyRw3LeFHC4BvFsm6jXDT8C","JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=",,0,0,0,-1,0
"F70E23CB37524A00996AC65D8DCE32F3","D03","JERC","JERC_009","C3","evergreenForest",31.194464,-84.455794,"WGS84",,47.1,,"2014-08-20","MAM.JERC.2014.09","NEON.MAM.D03.0L2379","SIHI","Sigmodon hispidus","species",," ","F","N","Y",,,"juvenile",,"nonenlarged","not","neither",25.0,,,,28.00,,,,,,,,,"EdHmhwKXqxyRw3LeFHC4BvFsm6jXDT8C","JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=",,0,0,0,-1,0
"33451B00561A4706AD9CE8998B982EC2","D03","JERC","JERC_009","A2","evergreenForest",31.194558,-84.456001,"WGS84",,47.1,,"2014-08-20","MAM.JERC.2014.09","NEON.MAM.D03.0L2391","PEGO","Peromyscus gossypinus","species",," ","M","N","Y",,,"adult","nonscrotal",,,,21.0,,,,28.00,,,,,,,,,"EdHmhwKXqxyRw3LeFHC4BvFsm6jXDT8C","JdN6ZmAx7oWFIyzymv+BnRh9VwthDgp6K22EnIME4dI=",,0,0,0,-1,0
