"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"D41B6791C1DA4E0EBE8F179AC4561206","D05","UNDE","UNDE_001","A4",,46.235549,-89.559706,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1303","PELE","Peromyscus leucopus","species","cf. species"," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",20.0,15.0,,,15.00,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"7A2DECB2B5EC4A2BB828DE55C06FCC26","D05","UNDE","UNDE_002","J4",,46.244331,-89.543278,"WGS84",,504.0,,"2014-09-17","MAM.UNDE.2014.10",,"BLBR","Blarina brevicauda","species",," ",,"N","N",,,"adult",,,"not",,,,,,,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,-1,-1,-1,-1
"6E55E2290F524432AB180A3201686BCD","D05","UNDE","UNDE_002","J5",,46.244241,-89.543294,"WGS84",,504.0,,"2014-09-17","MAM.UNDE.2014.10",,"GLSP","Glaucomys sp.","genus",," ",,"N","N","nontarget",,"adult",,,"not",,,,,,,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,-1,-1,-1,-1
"461C22E7D0C6485C9D52457443DE7C1B","D05","UNDE","UNDE_001","A9",,46.235098,-89.559786,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10",,"PEMA","Peromyscus maniculatus","species","cf. species"," ",,"N","Y","escaped",,,,,"not",,,,,,,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,-1,-1,-1,-1
"062DA371A68E47D2A53338B419A0BE04","D05","UNDE","UNDE_001","B1",,46.235809,-89.559528,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1552","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",20.0,18.0,,,14.00,,,"UNDE.20140917.R1552.F","fresh",,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,0,0,-1,0
"5C13CC58AEBE42EEBE330A0EF6925174","D05","UNDE","UNDE_001","C1",,46.235798,-89.559398,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1525","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","N",,,"adult","nonscrotal",,,,19.0,14.0,,,13.00,,,"UNDE.20140917.R1525.F","fresh","UNDE.20140917.R1525.E","UNDE.20140917.R1525.H","UNDE.20140917.R1525.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"E6EBFE7CE29E4EF5B968795507E07D9B","D05","UNDE","UNDE_001","B2",,46.235719,-89.559544,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1314","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","Y",,,"adult","nonscrotal",,,,21.0,17.0,,,15.00,,,,,"UNDE.20140917.R1314.E","UNDE.20140917.R1314.H","UNDE.20140917.R1314.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"8CBD1DE5625A45F2BE25B8F0CEAB9F18","D05","UNDE","UNDE_001","C5",,46.235437,-89.559462,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1304","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","Y",,,"adult","nonscrotal",,,,20.0,19.0,,,14.00,,,,,"UNDE.20140917.R1304.E","UNDE.20140917.R1304.H","UNDE.20140917.R1304.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"6260FCC37AEA47BF9FA40967C840082F","D05","UNDE","UNDE_001","C8",,46.235166,-89.559510,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1184","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",20.0,17.0,,,17.00,,,,,,"UNDE.20140917.R1184.H","UNDE.20140917.R1184.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"4A93531580674FB493436B41DF5AE350","D05","UNDE","UNDE_001","B6",,46.235358,-89.559608,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10",,"GLSP","Glaucomys sp.","genus",," ",,"N","N","nontarget",,"adult",,,"not",,,,,,,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,-1,-1,-1,-1
"46602B1E339D4A02868B8DF5DCA91644","D05","UNDE","UNDE_001","D6",,46.235336,-89.559348,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1527","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","N",,,"adult","nonscrotal",,,,20.0,19.0,,,18.00,,,"UNDE.20140917.R1527.F","fresh","UNDE.20140917.R1527.E","UNDE.20140917.R1527.H","UNDE.20140917.R1527.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"9BEEC284960F4770B409D785882D4D89","D05","UNDE","UNDE_001","C9",,46.235076,-89.559526,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10",,"BLBR","Blarina brevicauda","species",," ",,"N","N",,,"adult",,,"not",,,,,,,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,-1,-1,-1,-1
"CC83588528BC4ADB94D8DEDB0CA027B6","D05","UNDE","UNDE_001","C2",,46.235708,-89.559414,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10",,"OTHE","Mammalia sp.","class",," ",,"N","N","escaped",,,,,"not",,,,,,,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,-1,-1,-1,-1
"2DB4DFEBE32B421FAE9429B644D7BDA7","D05","UNDE","UNDE_001","B4",,46.235538,-89.559576,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10",,"GLSP","Glaucomys sp.","genus",," ",,"N","N","nontarget",,"adult",,,"not",,,,,,,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,-1,-1,-1,-1
"4FD7F661B94D48BF9F6123D1D9EFCB60","D05","UNDE","UNDE_001","G4",,46.235483,-89.558926,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1530","PELE","Peromyscus leucopus","species","cf. species"," ","F","N","N",,,"adult",,"nonenlarged","not","neither",20.0,12.0,,,15.00,,,"UNDE.20140917.R1530.F","fresh","UNDE.20140917.R1530.E","UNDE.20140917.R1530.H","UNDE.20140917.R1530.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"B8C91D70F28A4FDAB350FD31A2FCCAE5","D05","UNDE","UNDE_001","E2",,46.235685,-89.559154,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1306","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","Y",,,"adult",,"nonenlarged","not","neither",19.0,16.0,,,14.00,,,,,,"UNDE.20140917.R1306.H","UNDE.20140917.R1306.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,0,0,-1,0
"E336E99B05EC492CA1266654C4FE3929","D05","UNDE","UNDE_001","C4",,46.235527,-89.559446,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10",,"BLBR","Blarina brevicauda","species",," ",,"N","N",,,"adult",,,"not",,,,,,,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,-1,-1,-1,-1
"21D8912F70E44B26B32E58B42A841403","D05","UNDE","UNDE_001","F1",,46.235765,-89.559008,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1528","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","N","N",,,"adult",,"nonenlarged","not","neither",19.0,16.0,,,11.00,,,"UNDE.20140917.R1528.F","fresh","UNDE.20140917.R1528.E","UNDE.20140917.R1528.H","UNDE.20140917.R1528.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"FACCB09A8D3746E3AAE0BAC861E1DF64","D05","UNDE","UNDE_001","G7",,46.235212,-89.558973,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1388","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",20.0,18.0,,,14.00,,,,,,"UNDE.20140917.R1388.H","UNDE.20140917.R1388.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,0,0,-1,0
"00E2D480DA6B4868ACC1F075258F70E9","D05","UNDE","UNDE_001","E9",,46.235054,-89.559266,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0L1529","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","Y",,"R1134","adult","nonscrotal",,,,20.0,18.0,,,17.00,,,"UNDE.20140917.L1529.F","fresh",,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"5120BB7A086F4E27B26E3155706506FD","D05","UNDE","UNDE_001","G2",,46.235663,-89.558894,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1177","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","N","Y",,,,,"nonenlarged","not","neither",20.0,17.0,,,24.00,,,"UNDE.20140917.R1177.F","fresh",,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,1,-1,1
"9D390077DBA341398E0B328C1FF63433","D05","UNDE","UNDE_001","E7",,46.235234,-89.559234,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1187","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","Y",,,"adult","nonscrotal",,,,18.0,15.0,,,16.00,,,"UNDE.20140917.R1187.F","fresh",,"UNDE.20140917.R1187.H","UNDE.20140917.R1187.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,0,0,-1,0
"B693344371C14222A810BE34947829C1","D05","UNDE","UNDE_001","I1",,46.235731,-89.558617,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1381","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",20.0,17.0,,,15.00,,,,,,"UNDE.20140917.R1381.H","UNDE.20140917.R1381.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"373AE1A751D84B829160960C22DEE7BD","D05","UNDE","UNDE_001","I6",,46.235280,-89.558697,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1377","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",20.0,18.0,,,14.00,,,,,,"UNDE.20140917.R1377.H","UNDE.20140917.R1377.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,0,0,-1,0
"B6A949B7FA2D45F6B29AC9249F57A752","D05","UNDE","UNDE_001","E6",,46.235324,-89.559218,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10",,"GLSP","Glaucomys sp.","genus",," ",,"N","N","nontarget",,"adult",,,"not",,,,,,,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,-1,-1,-1,-1
"2732B22AAF534BD9B17ADAD1039F33CE","D05","UNDE","UNDE_001","G1",,46.235753,-89.558878,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1313","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","Y",,,"adult","nonscrotal",,,,20.0,16.0,,,15.00,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,1,0,-1,0
"1CCA6B325F3248D9B38B54810C8590E3","D05","UNDE","UNDE_001","H3",,46.235562,-89.558779,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10","NEON.MAM.D05.0R1385","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","Y",,,"adult","nonscrotal",,,,20.0,17.0,,,18.00,,,"UNDE.20140917.R1385.F","fresh",,"UNDE.20140917.R1385.H","UNDE.20140917.R1385.H",,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
